cause,cause_remapped,effect,effect_type,confidence,top_keyword_score,keywords,similarity_score,weight,full_answer
energy goods disproportionately,high production costs,renewable energy adoption,decrease,0.20778972,0.7845,"[('households', 0.5292), ('costs', 0.4085), ('disproportionately', 0.3943), ('energy', 0.3797), ('low', 0.2649), ('costs energy', 0.6236), ('income households', 0.5798), ('disproportionately', 0.3943), ('affecting low', 0.3747), ('goods', 0.285), ('energy goods disproportionately', 0.7845), ('income households', 0.5798), ('disproportionately affecting', 0.5027), ('higher costs', 0.4707), ('affecting low', 0.3747)]",0.7759622931480408,-1,"a poorly designed carbon tax could lead to higher costs for energy and goods, disproportionately affecting low income households."
energy goods disproportionately,high production costs,renewable energy adoption,decrease,0.20486383,0.7845,"[('households', 0.5292), ('costs', 0.4085), ('disproportionately', 0.3943), ('energy', 0.3797), ('low', 0.2649), ('costs energy', 0.6236), ('income households', 0.5798), ('disproportionately', 0.3943), ('affecting low', 0.3747), ('goods', 0.285), ('energy goods disproportionately', 0.7845), ('income households', 0.5798), ('disproportionately affecting', 0.5027), ('higher costs', 0.4707), ('affecting low', 0.3747)]",0.7759622931480408,-1,"a poorly designed carbon tax could lead to higher costs for energy and goods, disproportionately affecting low income households."
tightening alumina supply,high production costs,sustainability-driven consumer demand,increase,0.24654193,0.9431,"[('alumina', 0.5824), ('tightening', 0.5685), ('supply', 0.2873), ('tightening alumina', 0.9021), ('alumina supply', 0.7005), ('alumina', 0.5824), ('tightening', 0.5685), ('supply', 0.2873), ('tightening alumina supply', 0.9431), ('alumina supply', 0.7005), ('alumina', 0.5824), ('tightening', 0.5685), ('supply', 0.2873)]",0.7199777960777283,1,"a major factor underpinning this upward trend is the tightening of alumina supply, which has fuelled cost pressures across the aluminium industry."
tightening alumina supply,high production costs,sustainability-driven consumer demand,increase,0.24654193,0.9431,"[('alumina', 0.5824), ('tightening', 0.5685), ('supply', 0.2873), ('tightening alumina', 0.9021), ('alumina supply', 0.7005), ('alumina', 0.5824), ('tightening', 0.5685), ('supply', 0.2873), ('tightening alumina supply', 0.9431), ('alumina supply', 0.7005), ('alumina', 0.5824), ('tightening', 0.5685), ('supply', 0.2873)]",0.7199777960777283,1,"a major factor underpinning this upward trend is the tightening of alumina supply, which has fuelled cost pressures across the aluminium industry."
tightening alumina supply,high production costs,sustainability-driven consumer demand,increase,0.24654193,0.9431,"[('alumina', 0.5824), ('tightening', 0.5685), ('supply', 0.2873), ('tightening alumina', 0.9021), ('alumina supply', 0.7005), ('alumina', 0.5824), ('tightening', 0.5685), ('supply', 0.2873), ('tightening alumina supply', 0.9431), ('alumina supply', 0.7005), ('alumina', 0.5824), ('tightening', 0.5685), ('supply', 0.2873)]",0.7199777960777283,1,"a major factor underpinning this upward trend is the tightening of alumina supply, which has fuelled cost pressures across the aluminium industry."
tightening alumina supply,high production costs,sustainability-driven consumer demand,increase,0.24654193,0.9431,"[('alumina', 0.5824), ('tightening', 0.5685), ('supply', 0.2873), ('tightening alumina', 0.9021), ('alumina supply', 0.7005), ('alumina', 0.5824), ('tightening', 0.5685), ('supply', 0.2873), ('tightening alumina supply', 0.9431), ('alumina supply', 0.7005), ('alumina', 0.5824), ('tightening', 0.5685), ('supply', 0.2873)]",0.7199777960777283,1,"a major factor underpinning this upward trend is the tightening of alumina supply, which has fuelled cost pressures across the aluminium industry."
hydrogen,hydrogen adoption,alternative fuel penetration,increase,0.17597824,0.7727,"[('hydrogen', 0.7727), ('hydrogen', 0.7727), ('hydrogen', 0.7727)]",0.7638821005821228,1,"canan outlined the means of cement industry decarbonization, including process control, process optimisation, the use of scms and alternative fuels and hydrogen."
certain eu sectors,inclusion of downstream products under CBAM,emissions shifting,effect,0.1453247,0.6781,"[('sectors', 0.4471), ('downstream', 0.4329), ('eu', 0.3993), ('effects', 0.2901), ('particularly', 0.1383), ('eu sectors', 0.6664), ('downstream manufacturers', 0.5887), ('economy particularly', 0.4406), ('devastating effects', 0.382), ('sub', 0.0966), ('certain eu sectors', 0.6781), ('downstream manufacturers', 0.5887), ('economy particularly', 0.4406), ('devastating effects', 0.382), ('sub', 0.0966)]",0.6893725991249084,0.5,"the latter may have devastating effects on certain eu sectors and sub sectors of economy, particularly downstream manufacturers."
including downstream products,inclusion of downstream products under CBAM,emissions shifting,decrease,0.17365748,1,"[('downstream', 0.7526), ('products', 0.4667), ('including', 0.2731), ('downstream products', 0.942), ('including downstream', 0.8616), ('downstream', 0.7526), ('products', 0.4667), ('including', 0.2731), ('including downstream products', 1.0), ('including downstream', 0.8616), ('downstream', 0.7526), ('products', 0.4667), ('including', 0.2731)]",0.7426043748855591,-1,including downstream products addressed this concern.
including downstream products,inclusion of downstream products under CBAM,emissions shifting,effect,0.6225667,1,"[('downstream', 0.7526), ('products', 0.4667), ('including', 0.2731), ('downstream products', 0.942), ('including downstream', 0.8616), ('downstream', 0.7526), ('products', 0.4667), ('including', 0.2731), ('including downstream products', 1.0), ('including downstream', 0.8616), ('downstream', 0.7526), ('products', 0.4667), ('including', 0.2731)]",0.7107941508293152,0.5,including downstream products addressed this concern.
washing machine manufactured,inclusion of downstream products under CBAM,EU CBAM,decrease,0.3422465,0.7508,"[('europe', 0.3953), ('washing', 0.3696), ('manufactured', 0.3547), ('machine', 0.3028), ('outside', 0.0597), ('washing machine', 0.5739), ('outside europe', 0.4371), ('manufactured outside', 0.3833), ('manufactured', 0.3547), ('machine', 0.3028), ('washing machine manufactured', 0.7508), ('machine manufactured outside', 0.5831), ('outside europe', 0.4371), ('manufactured', 0.3547), ('machine', 0.3028)]",0.7842304110527039,-1,"however, the same washing machine manufactured outside of europe will not be subject neither to the eu ets, nor to cbam."
washing machine manufactured,inclusion of downstream products under CBAM,EU CBAM,effect,0.5081916,0.7763,"[('washing', 0.4239), ('europe', 0.3977), ('manufactured', 0.3793), ('machine', 0.3367), ('outside', 0.0807), ('washing machine', 0.6189), ('outside europe', 0.4323), ('manufactured outside', 0.3975), ('manufactured', 0.3793), ('machine', 0.3367), ('washing machine manufactured', 0.7763), ('machine manufactured outside', 0.5846), ('outside europe', 0.4323), ('manufactured', 0.3793), ('machine', 0.3367)]",0.7491292953491211,0.5,"however, the same washing machine manufactured outside of europe will not be subject neither to the eu ets, nor to cbam."
producers material substitution,inclusion of downstream products under CBAM,EU production standards,effect,0.4975056,0.7246,"[('downstream', 0.4195), ('producers', 0.4089), ('competitiveness', 0.3742), ('substitution', 0.245), ('avoids', 0.1073), ('downstream producers', 0.6319), ('producers material', 0.519), ('material substitution', 0.4294), ('avoids competitiveness', 0.4215), ('effects', 0.1623), ('producers material substitution', 0.7246), ('competitiveness impacts downstream', 0.645), ('material', 0.1867), ('effects', 0.1623), ('avoids', 0.1073)]",0.8058274388313293,0.5,"if it is broad, it avoids competitiveness impacts on downstream producers and material substitution effects."
producers material substitution,inclusion of downstream products under CBAM,EU production standards,effect,0.18917611,0.7246,"[('downstream', 0.4195), ('producers', 0.4089), ('competitiveness', 0.3742), ('substitution', 0.245), ('avoids', 0.1073), ('downstream producers', 0.6319), ('producers material', 0.519), ('material substitution', 0.4294), ('avoids competitiveness', 0.4215), ('effects', 0.1623), ('producers material substitution', 0.7246), ('competitiveness impacts downstream', 0.645), ('material', 0.1867), ('effects', 0.1623), ('avoids', 0.1073)]",0.8058274388313293,0.5,"if it is broad, it avoids competitiveness impacts on downstream producers and material substitution effects."
including downstream products,inclusion of downstream products under CBAM,harmonized carbon pricing,decrease,0.27566347,1,"[('downstream', 0.7526), ('products', 0.4667), ('including', 0.2731), ('downstream products', 0.942), ('including downstream', 0.8616), ('downstream', 0.7526), ('products', 0.4667), ('including', 0.2731), ('including downstream products', 1.0), ('including downstream', 0.8616), ('downstream', 0.7526), ('products', 0.4667), ('including', 0.2731)]",0.7746647000312805,-1,including downstream products addressed this concern.
including downstream products,inclusion of downstream products under CBAM,harmonized carbon pricing,effect,0.44671515,1,"[('downstream', 0.7526), ('products', 0.4667), ('including', 0.2731), ('downstream products', 0.942), ('including downstream', 0.8616), ('downstream', 0.7526), ('products', 0.4667), ('including', 0.2731), ('including downstream products', 1.0), ('including downstream', 0.8616), ('downstream', 0.7526), ('products', 0.4667), ('including', 0.2731)]",0.7523770332336426,0.5,including downstream products addressed this concern.
including downstream products,inclusion of downstream products under CBAM,introduction of the EU CBAM,decrease,0.8437412,1,"[('downstream', 0.7526), ('products', 0.4667), ('including', 0.2731), ('downstream products', 0.942), ('including downstream', 0.8616), ('downstream', 0.7526), ('products', 0.4667), ('including', 0.2731), ('including downstream products', 1.0), ('including downstream', 0.8616), ('downstream', 0.7526), ('products', 0.4667), ('including', 0.2731)]",0.7711295485496521,-1,including downstream products addressed this concern.
increase auctioning share,increase auction share,disruption from the green transition,decrease,0.21914223,0.7283,"[('allocation', 0.5758), ('auctioning', 0.567), ('increase', 0.3213), ('free', 0.2738), ('matched', 0.2439), ('increase auctioning', 0.6739), ('allocation matched', 0.6111), ('increase', 0.3213), ('share', 0.3068), ('free', 0.2738), ('increase auctioning share', 0.7283), ('free allocation matched', 0.7131), ('increase', 0.3213), ('share', 0.3068), ('free', 0.2738)]",0.7772533297538757,-1,a decrease in free allocation has to be matched with an increase in the auctioning share.
increase auctioning share,increase auction share,disruption from the green transition,decrease,0.1190304,0.7283,"[('allocation', 0.5758), ('auctioning', 0.567), ('increase', 0.3213), ('free', 0.2738), ('matched', 0.2439), ('increase auctioning', 0.6739), ('allocation matched', 0.6111), ('increase', 0.3213), ('share', 0.3068), ('free', 0.2738), ('increase auctioning share', 0.7283), ('free allocation matched', 0.7131), ('increase', 0.3213), ('share', 0.3068), ('free', 0.2738)]",0.7772533297538757,-1,a decrease in free allocation has to be matched with an increase in the auctioning share.
free allocation,increase auction share,EU climate policy,decrease,0.4996984,0.9523,"[('allocation', 0.8039), ('free', 0.4382), ('free allocation', 0.9523), ('allocation', 0.8039), ('free', 0.4382), ('free allocation', 0.9523), ('allocation', 0.8039), ('free', 0.4382)]",0.684513509,-1,a decrease in free allocation has to be matched with an increase in the auctioning share.
free allocation,increase auction share,EU climate policy,decrease,0.4996984,0.9523,"[('allocation', 0.8039), ('free', 0.4382), ('free allocation', 0.9523), ('allocation', 0.8039), ('free', 0.4382), ('free allocation', 0.9523), ('allocation', 0.8039), ('free', 0.4382)]",0.684513509,-1,a decrease in free allocation has to be matched with an increase in the auctioning share.
increase auctioning share,increase auction share,high energy costs,decrease,0.428656,0.7283,"[('allocation', 0.5758), ('auctioning', 0.567), ('increase', 0.3213), ('free', 0.2738), ('matched', 0.2439), ('increase auctioning', 0.6739), ('allocation matched', 0.6111), ('increase', 0.3213), ('share', 0.3068), ('free', 0.2738), ('increase auctioning share', 0.7283), ('free allocation matched', 0.7131), ('increase', 0.3213), ('share', 0.3068), ('free', 0.2738)]",0.7668079733848572,-1,a decrease in free allocation has to be matched with an increase in the auctioning share.
increase auctioning share,increase auction share,high energy costs,decrease,0.34355888,0.7283,"[('allocation', 0.5758), ('auctioning', 0.567), ('increase', 0.3213), ('free', 0.2738), ('matched', 0.2439), ('increase auctioning', 0.6739), ('allocation matched', 0.6111), ('increase', 0.3213), ('share', 0.3068), ('free', 0.2738), ('increase auctioning share', 0.7283), ('free allocation matched', 0.7131), ('increase', 0.3213), ('share', 0.3068), ('free', 0.2738)]",0.7668079733848572,-1,a decrease in free allocation has to be matched with an increase in the auctioning share.
free allocation,increase auction share,international climate cooperation,decrease,0.5,0.9523,"[('allocation', 0.8039), ('free', 0.4382), ('free allocation', 0.9523), ('allocation', 0.8039), ('free', 0.4382), ('free allocation', 0.9523), ('allocation', 0.8039), ('free', 0.4382)]",0.6534638404846191,-1,a decrease in free allocation has to be matched with an increase in the auctioning share.
free allocation,increase auction share,international climate cooperation,decrease,0.5,0.9523,"[('allocation', 0.8039), ('free', 0.4382), ('free allocation', 0.9523), ('allocation', 0.8039), ('free', 0.4382), ('free allocation', 0.9523), ('allocation', 0.8039), ('free', 0.4382)]",0.6534638404846191,-1,a decrease in free allocation has to be matched with an increase in the auctioning share.
auctioning share,increase auction share,phase-out of free allowances,decrease,0.330207,0.9024,"[('auctioning', 0.8226), ('share', 0.5541), ('auctioning share', 0.9024), ('auctioning', 0.8226), ('share', 0.5541), ('auctioning share', 0.9024), ('auctioning', 0.8226), ('share', 0.5541)]",0.8121995329856873,-1,a decrease in free allocation has to be matched with an increase in the auctioning share.
auctioning share,increase auction share,phase-out of free allowances,decrease,0.330207,0.9024,"[('auctioning', 0.8226), ('share', 0.5541), ('auctioning share', 0.9024), ('auctioning', 0.8226), ('share', 0.5541), ('auctioning share', 0.9024), ('auctioning', 0.8226), ('share', 0.5541)]",0.8121995329856873,-1,a decrease in free allocation has to be matched with an increase in the auctioning share.
free allocation,increase auction share,regulatory harmonization,decrease,0.88368464,0.9523,"[('allocation', 0.8039), ('free', 0.4382), ('free allocation', 0.9523), ('allocation', 0.8039), ('free', 0.4382), ('free allocation', 0.9523), ('allocation', 0.8039), ('free', 0.4382)]",0.7567621469497681,-1,a decrease in free allocation has to be matched with an increase in the auctioning share.
pass emission costs,increased consumer costs,fossil fuel phase-out,effect,0.8735472,0.6722,"[('fuel', 0.4514), ('costs', 0.3331), ('industry', 0.2752), ('buildings', 0.2273), ('immense', 0.0431), ('emission costs', 0.6646), ('fuel industry', 0.6114), ('buildings transport', 0.4001), ('citizens', 0.1358), ('pass', 0.1124), ('pass emission costs', 0.6722), ('fuel industry', 0.6114), ('buildings transport', 0.4001), ('citizens', 0.1358), ('immense', 0.0431)]",0.7548466920852661,0.5,"without a fossil fuel phase out, the fuel industry will pass on emission costs for buildings and transport to citizens and still keep making immense profits "" says barbara mariani, eeb policy manager for climate."
increasing bank rates,increasing bank rates,policy-induced inflation,increase,0.40376714,0.9297,"[('bank', 0.5253), ('rates', 0.455), ('increasing', 0.331), ('increasing bank', 0.8002), ('bank rates', 0.7591), ('bank', 0.5253), ('rates', 0.455), ('increasing', 0.331), ('increasing bank rates', 0.9297), ('increasing bank', 0.8002), ('bank', 0.5253), ('rates', 0.455), ('increasing', 0.331)]",0.7486893534660339,1,"the surge in energy prices, increasing bank interest rates, inflationary pressures, and economic deceleration in europe have not only affected the demand for aluminium but have also left an imprint on various other sectors."
increasing bank rates,increasing bank rates,policy-induced inflation,increase,0.40376714,0.9297,"[('bank', 0.5253), ('rates', 0.455), ('increasing', 0.331), ('increasing bank', 0.8002), ('bank rates', 0.7591), ('bank', 0.5253), ('rates', 0.455), ('increasing', 0.331), ('increasing bank rates', 0.9297), ('increasing bank', 0.8002), ('bank', 0.5253), ('rates', 0.455), ('increasing', 0.331)]",0.7486893534660339,1,"the surge in energy prices, increasing bank interest rates, inflationary pressures, and economic deceleration in europe have not only affected the demand for aluminium but have also left an imprint on various other sectors."
increasing bank rates,increasing bank rates,policy-induced inflation,decrease,0.5,0.9297,"[('bank', 0.5253), ('rates', 0.455), ('increasing', 0.331), ('increasing bank', 0.8002), ('bank rates', 0.7591), ('bank', 0.5253), ('rates', 0.455), ('increasing', 0.331), ('increasing bank rates', 0.9297), ('increasing bank', 0.8002), ('bank', 0.5253), ('rates', 0.455), ('increasing', 0.331)]",0.7629209160804749,-1,"the surge in energy prices, increasing bank interest rates, inflationary pressures, and economic deceleration in europe have not only affected the demand for aluminium but have also left an imprint on various other sectors."
increasing bank rates,increasing bank rates,policy-induced inflation,decrease,0.5,0.9297,"[('bank', 0.5253), ('rates', 0.455), ('increasing', 0.331), ('increasing bank', 0.8002), ('bank rates', 0.7591), ('bank', 0.5253), ('rates', 0.455), ('increasing', 0.331), ('increasing bank rates', 0.9297), ('increasing bank', 0.8002), ('bank', 0.5253), ('rates', 0.455), ('increasing', 0.331)]",0.7629209160804749,-1,"the surge in energy prices, increasing bank interest rates, inflationary pressures, and economic deceleration in europe have not only affected the demand for aluminium but have also left an imprint on various other sectors."
industry carbon footprint,industrial decarbonization,carbon capture technology,decrease,0.8039467,0.7954,"[('emissions', 0.5922), ('industry', 0.365), ('footprint', 0.3075), ('reduce', 0.2927), ('drastically', 0.1628), ('carbon footprint', 0.714), ('industry', 0.365), ('dioxide', 0.2935), ('reduce', 0.2927), ('drastically', 0.1628), ('industry carbon footprint', 0.7954), ('dioxide', 0.2935), ('reduce', 0.2927), ('drastically', 0.1628), ('utilize', 0.1464)]",0.825565755,-1,"these technologies, designed to capture and store or utilize carbon dioxide emissions, could drastically reduce the industry ' s carbon footprint (4)."
industry carbon footprint,industrial decarbonization,carbon capture technology,effect,0.43244317,0.7829,"[('carbon', 0.4268), ('footprint', 0.3527), ('reduce', 0.343), ('industry', 0.342), ('drastically', 0.2305), ('carbon footprint', 0.7229), ('industry carbon', 0.6811), ('reduce industry', 0.6357), ('reduce', 0.343), ('drastically', 0.2305), ('industry carbon footprint', 0.7829), ('drastically reduce industry', 0.7203), ('carbon', 0.4268), ('reduce', 0.343), ('drastically', 0.2305)]",0.7791426181793213,0.5,"these technologies, designed to capture and store or utilize carbon dioxide emissions, could drastically reduce the industry ' s carbon footprint (4)."
industry carbon footprint,industrial decarbonization,carbon capture technology,effect,0.43244317,0.7829,"[('carbon', 0.4268), ('footprint', 0.3527), ('reduce', 0.343), ('industry', 0.342), ('drastically', 0.2305), ('carbon footprint', 0.7229), ('industry carbon', 0.6811), ('reduce industry', 0.6357), ('reduce', 0.343), ('drastically', 0.2305), ('industry carbon footprint', 0.7829), ('drastically reduce industry', 0.7203), ('carbon', 0.4268), ('reduce', 0.343), ('drastically', 0.2305)]",0.7791426181793213,0.5,"these technologies, designed to capture and store or utilize carbon dioxide emissions, could drastically reduce the industry ' s carbon footprint (4)."
industry carbon footprint,industrial decarbonization,carbon capture technology,effect,0.39239225,0.7829,"[('carbon', 0.4268), ('footprint', 0.3527), ('reduce', 0.343), ('industry', 0.342), ('drastically', 0.2305), ('carbon footprint', 0.7229), ('industry carbon', 0.6811), ('reduce industry', 0.6357), ('reduce', 0.343), ('drastically', 0.2305), ('industry carbon footprint', 0.7829), ('drastically reduce industry', 0.7203), ('carbon', 0.4268), ('reduce', 0.343), ('drastically', 0.2305)]",0.7930907011032104,0.5,"these technologies, designed to capture and store or utilize carbon dioxide emissions, could drastically reduce the industry ' s carbon footprint (4)."
industry carbon footprint,industrial decarbonization,carbon capture technology,effect,0.39239225,0.7829,"[('carbon', 0.4268), ('footprint', 0.3527), ('reduce', 0.343), ('industry', 0.342), ('drastically', 0.2305), ('carbon footprint', 0.7229), ('industry carbon', 0.6811), ('reduce industry', 0.6357), ('reduce', 0.343), ('drastically', 0.2305), ('industry carbon footprint', 0.7829), ('drastically reduce industry', 0.7203), ('carbon', 0.4268), ('reduce', 0.343), ('drastically', 0.2305)]",0.7930907011032104,0.5,"these technologies, designed to capture and store or utilize carbon dioxide emissions, could drastically reduce the industry ' s carbon footprint (4)."
decarbonization efforts trade,industrial decarbonization,circular economy legislation,effect,0.40844718,0.669,"[('decarbonization', 0.4254), ('carbon', 0.292), ('competitiveness', 0.2915), ('policies', 0.2562), ('export', 0.2055), ('industrial decarbonization', 0.6096), ('improve environmental', 0.2945), ('pace current', 0.1049), ('policies address', 0.08), ('couple domestic', 0.0557), ('decarbonization efforts trade', 0.669), ('gas intensive industrial', 0.3559), ('environmental policies maintain', 0.3434), ('03 raymond kopp', 0.0861), ('benchmark intensity approach', 0.0457)]",0.7712125182151794,0.5,"by assessing the fee only on emissions above the? resources for the future industrial decarbonization and competitiveness : a domestic benchmark intensity approach issue brief 22-03 by raymond j. kopp, william a. pizer, and kevin rennert may 2022 1. background to achieve the net zero ambitions of the paris agreement, emissions from the "" hard to abate, "" greenhouse gas intensive industrial sectors (steel, aluminum, cement, and chemicals) must be reduced. the pace of current decarbonization efforts will be aided by the introduction of new low-and zero carbon production technologies driven by government policies. in many cases, products from these sectors are exchanged on highly competitive international markets, raising concerns that domestic decarbonization policies could result in lost competitive advantage vis a vis nations with weaker environmental policies. to address such competitiveness concerns, decisionmakers have proposed policies to couple domestic industrial decarbonization efforts with trade policies and thereby address three goals : a) maintain domestic competitiveness against imports produced in countries with relatively weaker environmental policies, b) maintain competitiveness in export markets, and c) provide incentives for trading partners to improve their environmental performances"
decarbonization,industrial decarbonization,halted green investments,effect,0.59631675,0.8938,"[('decarbonization', 0.8938), ('decarbonization', 0.8938), ('decarbonization', 0.8938)]",0.797881544,0.5,"this undermines decarbonization, as several companies have halted investments in green steel projects."
halted investments green,industrial decarbonization,halted green investments,effect,0.19926277,0.7591,"[('investments', 0.4035), ('steel', 0.3079), ('halted', 0.298), ('projects', 0.2854), ('green', 0.2329), ('investments green', 0.6165), ('companies halted', 0.562), ('steel projects', 0.5123), ('green steel', 0.5106), ('companies', 0.3686), ('halted investments green', 0.7591), ('investments green steel', 0.7466), ('steel projects', 0.5123), ('companies', 0.3686), ('green', 0.2329)]",0.7753021121025085,0.5,"this undermines decarbonization, as several companies have halted investments in green steel projects."
decarbonising emission intensive,industrial decarbonization,industrial slowdown,increase,0.22896945,0.6713,"[('emission', 0.4698), ('industries', 0.4316), ('decarbonising', 0.3282), ('intensive', 0.2641), ('heavy', 0.1587), ('emission intensive', 0.6101), ('decarbonising emission', 0.569), ('industries', 0.4316), ('decarbonising', 0.3282), ('heavy', 0.1587), ('decarbonising emission intensive', 0.6713), ('emission intensive heavy', 0.633), ('heavy industries', 0.5744), ('decarbonising', 0.3282), ('intensive', 0.2641)]",0.7293830513954163,1,"decarbonising these emission intensive "" heavy "" industries can significantly benefit both india ' s industrial sector and renewable energy ecosystem."
decarbonisation heavy industries,industrial decarbonization,renewable energy capacity,increase,0.9714446,0.6731,"[('renewable', 0.5426), ('decarbonisation', 0.4085), ('increase', 0.1361), ('ultimately', 0.0589), ('require', 0.0544), ('industries decarbonisation', 0.6491), ('renewable capacity', 0.5949), ('significant electrification', 0.475), ('sources transition', 0.1996), ('needs', 0.0757), ('decarbonisation heavy industries', 0.6731), ('renewable capacity meet', 0.5749), ('demands significant electrification', 0.5504), ('sources transition require', 0.2107), ('reliant', 0.0698)]",0.7639712691307068,1,"green electrification can unlock clean energy gains for indian industries decarbonisation of heavy industries demands significant electrification, ultimately reliant on renewable energy sources. this transition will require a substantial increase in renewable capacity to meet future industrial needs."
decarbonising emission intensive,industrial decarbonization,renewable energy capacity,increase,0.76578856,0.6713,"[('emission', 0.4698), ('industries', 0.4316), ('decarbonising', 0.3282), ('intensive', 0.2641), ('heavy', 0.1587), ('emission intensive', 0.6101), ('decarbonising emission', 0.569), ('industries', 0.4316), ('decarbonising', 0.3282), ('heavy', 0.1587), ('decarbonising emission intensive', 0.6713), ('emission intensive heavy', 0.633), ('heavy industries', 0.5744), ('decarbonising', 0.3282), ('intensive', 0.2641)]",0.7643061876296997,1,"decarbonising these emission intensive "" heavy "" industries can significantly benefit both india ' s industrial sector and renewable energy ecosystem."
decarbonising emission intensive,industrial decarbonization,renewable energy capacity,increase,0.21376555,0.6713,"[('emission', 0.4698), ('industries', 0.4316), ('decarbonising', 0.3282), ('intensive', 0.2641), ('heavy', 0.1587), ('emission intensive', 0.6101), ('decarbonising emission', 0.569), ('industries', 0.4316), ('decarbonising', 0.3282), ('heavy', 0.1587), ('decarbonising emission intensive', 0.6713), ('emission intensive heavy', 0.633), ('heavy industries', 0.5744), ('decarbonising', 0.3282), ('intensive', 0.2641)]",0.7643061876296997,1,"decarbonising these emission intensive "" heavy "" industries can significantly benefit both india ' s industrial sector and renewable energy ecosystem."
carbon leakagewhere companies,industrial delocalization,carbon pricing disparities,decrease,0.4715187,0.7071,"[('climate', 0.4236), ('policies', 0.3394), ('relocate', 0.3003), ('leakagewhere', 0.239), ('including', 0.0849), ('production jurisdictions', 0.6074), ('carbon leakagewhere', 0.4711), ('stringent climate', 0.4232), ('companies relocate', 0.4204), ('including', 0.0849), ('carbon leakagewhere companies', 0.7071), ('relocate production', 0.4554), ('climate', 0.4236), ('jurisdictions stringent', 0.3907), ('including', 0.0849)]",0.8137325048446655,-1,"however, disparities in carbon pricing across regions posed challenges, including carbon leakagewhere companies relocate production to jurisdictions with less stringent climate policies."
carbon leakagewhere companies,industrial delocalization,carbon pricing disparities,decrease,0.4715187,0.7071,"[('climate', 0.4236), ('policies', 0.3394), ('relocate', 0.3003), ('leakagewhere', 0.239), ('including', 0.0849), ('production jurisdictions', 0.6074), ('carbon leakagewhere', 0.4711), ('stringent climate', 0.4232), ('companies relocate', 0.4204), ('including', 0.0849), ('carbon leakagewhere companies', 0.7071), ('relocate production', 0.4554), ('climate', 0.4236), ('jurisdictions stringent', 0.3907), ('including', 0.0849)]",0.8137325048446655,-1,"however, disparities in carbon pricing across regions posed challenges, including carbon leakagewhere companies relocate production to jurisdictions with less stringent climate policies."
carbon leakagewhere companies,industrial delocalization,carbon pricing disparities,effect,0.46609578,0.7071,"[('climate', 0.4236), ('policies', 0.3394), ('relocate', 0.3003), ('leakagewhere', 0.239), ('including', 0.0849), ('production jurisdictions', 0.6074), ('carbon leakagewhere', 0.4711), ('stringent climate', 0.4232), ('companies relocate', 0.4204), ('including', 0.0849), ('carbon leakagewhere companies', 0.7071), ('relocate production', 0.4554), ('climate', 0.4236), ('jurisdictions stringent', 0.3907), ('including', 0.0849)]",0.8121052384376526,0.5,"however, disparities in carbon pricing across regions posed challenges, including carbon leakagewhere companies relocate production to jurisdictions with less stringent climate policies."
carbon leakagewhere companies,industrial delocalization,carbon pricing disparities,effect,0.46609578,0.7071,"[('climate', 0.4236), ('policies', 0.3394), ('relocate', 0.3003), ('leakagewhere', 0.239), ('including', 0.0849), ('production jurisdictions', 0.6074), ('carbon leakagewhere', 0.4711), ('stringent climate', 0.4232), ('companies relocate', 0.4204), ('including', 0.0849), ('carbon leakagewhere companies', 0.7071), ('relocate production', 0.4554), ('climate', 0.4236), ('jurisdictions stringent', 0.3907), ('including', 0.0849)]",0.8121052384376526,0.5,"however, disparities in carbon pricing across regions posed challenges, including carbon leakagewhere companies relocate production to jurisdictions with less stringent climate policies."
including carbon leakage,industrial delocalization,carbon pricing disparities,increase,0.49991643,1,"[('carbon', 0.6237), ('leakage', 0.5339), ('including', 0.2408), ('carbon leakage', 0.8814), ('including carbon', 0.7334), ('carbon', 0.6237), ('leakage', 0.5339), ('including', 0.2408), ('including carbon leakage', 1.0), ('including carbon', 0.7334), ('carbon', 0.6237), ('leakage', 0.5339), ('including', 0.2408)]",0.8133345246315002,1,"however, disparities in carbon pricing across regions posed challenges, including carbon leakagewhere companies relocate production to jurisdictions with less stringent climate policies."
including carbon leakage,industrial delocalization,carbon pricing disparities,increase,0.49991643,1,"[('carbon', 0.6237), ('leakage', 0.5339), ('including', 0.2408), ('carbon leakage', 0.8814), ('including carbon', 0.7334), ('carbon', 0.6237), ('leakage', 0.5339), ('including', 0.2408), ('including carbon leakage', 1.0), ('including carbon', 0.7334), ('carbon', 0.6237), ('leakage', 0.5339), ('including', 0.2408)]",0.8133345246315002,1,"however, disparities in carbon pricing across regions posed challenges, including carbon leakagewhere companies relocate production to jurisdictions with less stringent climate policies."
including carbon leakage,industrial delocalization,carbon pricing policy,decrease,0.37962183,1,"[('carbon', 0.6237), ('leakage', 0.5339), ('including', 0.2408), ('carbon leakage', 0.8814), ('including carbon', 0.7334), ('carbon', 0.6237), ('leakage', 0.5339), ('including', 0.2408), ('including carbon leakage', 1.0), ('including carbon', 0.7334), ('carbon', 0.6237), ('leakage', 0.5339), ('including', 0.2408)]",0.7840518355369568,-1,"however, disparities in carbon pricing across regions posed challenges, including carbon leakagewhere companies relocate production to jurisdictions with less stringent climate policies."
