cause,cause_remapped,fcm_cause_remapped,effect,fcm_effect_remapped,effect_type,confidence,top_keyword_score,keywords,similarity_score,weight,full_answer,direction,net_effect
investment,difficult investment climate,difficult investment climate,green regulation,green regulation,decrease,0.17187929,0.9033,"[('investment', 0.9033), ('investment', 0.9033), ('investment', 0.9033)]",0.731313944,-1,"moreover, the impact on investment in the eu and outside the eu alongside possible effects on employment within the eu have not yet been sufficiently addressed.",-1,0.17187929153442383
emissions outside eu,emissions shifting,emissions shifting,green regulation,green regulation,decrease,0.11426666,0.6434,"[('emissions', 0.5443), ('european', 0.2286), ('investments', 0.1809), ('mechanism', 0.1346), ('norton', -0.0572), ('carbon emissions', 0.6104), ('europe cost', 0.371), ('equivalent goods', 0.2826), ('border adjustment', 0.1772), ('norton lorenz', 0.0454), ('emissions outside eu', 0.6434), ('complexity finished products', 0.2897), ('cbam washing', 0.1632), ('adjustment mechanism seeking', 0.1257), ('lorenz famous butterfly', 0.094)]",0.7217099070549011,-1,"according to a study conducted by the? edward norton lorenz ' s most famous butterfly effect rests on the notion that one small occurrence can influence a much larger complex system. fifty years later, a metaphorical application of this can be found in the eu ' s proposed carbon border adjustment mechanism. seeking to help fight climate change by putting a tax on raw materials based on their co2 emissions, it would not only fall short of its very objective but also drive production and investments outside of europe, triggering a substantial loss of european jobs, with no positive impact on the environment. one occurrence influencing a much larger complex system. products which are manufactured abroad and imported into the eu will have an unfair competitive advantage over european manufactured products on the eu single market. the mechanism was in fact originally designed for raw materials and electricity, while the inclusion of finished products was discarded due to administrative complexity. finished products that are manufactured with the same raw materials covered by cbam and therefore become less competitive when manufactured in the eu, than equivalent goods manufactured outside of the eu. the carbon will simply be emitted elsewhere. if carbon intensive downstream products are more competitive than sustainable alternatives, the total balance of carbon emissions may be aggravated. let ' s take the case of a washing machine manufactured in europe. the cost of carbon emissions will apply on the aluminium, iron and steel used in the production process, whether these have been supplied in the eu (subject to the eu ets) or imported from elsewhere (subject to cbam). however, the same washing machine manufactured outside of europe will not be subject neither to the eu ets, nor to cbam. such a scenario not only falls short of the objectives set by the european green deal, as it does not reduce co2 emissions outside of the eu, but it also negatively affects european competition",-1,0.11426665633916855
high energy prices,high energy prices,high energy prices,green regulation,green regulation,decrease,0.93299776,0.8328,"[('energy', 0.4309), ('prices', 0.3548), ('high', 0.2923), ('energy prices', 0.7164), ('high energy', 0.5701), ('energy', 0.4309), ('prices', 0.3548), ('high', 0.2923), ('high energy prices', 0.8328), ('high energy', 0.5701), ('energy', 0.4309), ('prices', 0.3548), ('high', 0.2923)]",0.724106491,-1,"excessive regulation and high energy prices contribute to second consecutive year of downturn 2024 has been a year of economic contraction for europe ' s technology industries, with a combined downturn of 4.",-1,0.9329977631568909
gsp regulation lacks,insufficient trade safeguards,insufficient trade safeguards,green regulation,green regulation,decrease,0.59615976,0.7311,"[('gsp', 0.4252), ('regulation', 0.4117), ('safeguards', 0.2745), ('environmental', 0.2621), ('lacks', 0.098), ('gsp regulation', 0.6675), ('ensure environmental', 0.4394), ('partner countries', 0.3612), ('mechanisms', 0.1128), ('lacks', 0.098), ('gsp regulation lacks', 0.7311), ('environmental protection trade', 0.5825), ('lacks proper safeguards', 0.3718), ('mechanisms', 0.1128), ('proper', -0.014)]",0.761171818,-1,our assessment is that the gsp regulation lacks the proper safeguards and mechanisms to ensure environmental protection in trade partner countries.,-1,0.5961597561836243
negative counter reactions,negative market responses to CBAM,negative market responses to CBAM,green regulation,green regulation,effect,0.4801879,0.854,"[('reactions', 0.5207), ('negative', 0.3332), ('counter', 0.2997), ('states', 0.2676), ('affected', 0.2392), ('counter reactions', 0.6732), ('negative counter', 0.5902), ('reactions affected', 0.5824), ('affected states', 0.4875), ('negative', 0.3332), ('negative counter reactions', 0.854), ('reactions affected states', 0.7733), ('negative', 0.3332), ('states', 0.2676), ('affected', 0.2392)]",0.6723897457122803,0.5,"this includes, for example, negative counter reactions by affected states, regardless of whether the eu has de jure found a wto compliant measure.",0,0
2050 climate neutrality,net-zero targets,net-zero targets,green regulation,green regulation,increase,0.91786766,0.773,"[('climate', 0.4417), ('neutrality', 0.3586), ('eu', 0.3297), ('green', 0.3296), ('target', 0.1201), ('climate neutrality', 0.6717), ('european green', 0.491), ('deal eu', 0.456), ('2050', 0.3994), ('target', 0.1201), ('2050 climate neutrality', 0.773), ('deal eu 2050', 0.6152), ('green deal', 0.4568), ('european', 0.2452), ('target', 0.1201)]",0.7143327593803406,1,"with the launch of the european green deal and the eu ' s 2050 climate neutrality target, the eu is revising the main corpus of its climate regulations.",1,0.9178676605224609
impact fully understood,regulatory uncertainty,regulatory uncertainty,green regulation,green regulation,effect,0.4801879,0.6789,"[('impact', 0.5016), ('understood', 0.3055), ('fully', 0.1208), ('impact', 0.5016), ('impact fully', 0.4643), ('fully understood', 0.3771), ('understood', 0.3055), ('fully', 0.1208), ('impact fully understood', 0.6789), ('impact', 0.5016), ('fully understood', 0.3771), ('understood', 0.3055), ('fully', 0.1208)]",0.7440939545631409,0.5,"effect on the steel market the cbam regulation is new for many, and its impact is not yet fully understood everywhere.",0,0
environmental protection trade,,insufficient trade safeguards,green regulation,green regulation,increase,0.43268707,0.6419,"[('regulation', 0.4968), ('safeguards', 0.3304), ('environmental', 0.3228), ('lacks', 0.1388), ('trade', 0.0085), ('regulation lacks', 0.6022), ('ensure environmental', 0.5094), ('trade partner', 0.3369), ('mechanisms', 0.1517), ('proper', 0.0383), ('environmental protection trade', 0.6419), ('regulation', 0.4968), ('proper safeguards', 0.3915), ('lacks proper', 0.1816), ('mechanisms', 0.1517)]",0.737824023,1,our assessment is that the gsp regulation lacks the proper safeguards and mechanisms to ensure environmental protection in trade partner countries.,1,0.43268707394599915
high energy prices,high energy prices,high energy prices,green regulation,green regulation,increase,0.52305555,0.8328,"[('energy', 0.4309), ('prices', 0.3548), ('high', 0.2923), ('energy prices', 0.7164), ('high energy', 0.5701), ('energy', 0.4309), ('prices', 0.3548), ('high', 0.2923), ('high energy prices', 0.8328), ('high energy', 0.5701), ('energy', 0.4309), ('prices', 0.3548), ('high', 0.2923)]",0.7401862740516663,1,"excessive regulation and high energy prices contribute to second consecutive year of downturn 2024 has been a year of economic contraction for europe ' s technology industries, with a combined downturn of 4.",1,0.5230555534362793
industries typically emissions,carbon-intensive industry,carbon-intensive industry,green steel,green steel,decrease,0.4648866,0.5764,"[('tax', 0.5417), ('co2', 0.3972), ('industries', 0.3275), ('targets', 0.1585), ('typically', 0.062), ('co2 emissions', 0.5683), ('tax applied', 0.4832), ('trade internationally', 0.3987), ('targets', 0.1585), ('intensive relatively', 0.0864), ('industries typically emissions', 0.5764), ('tax applied', 0.4832), ('easy trade internationally', 0.291), ('dioxide', 0.2814), ('targets', 0.1585)]",0.7695624828338623,-1,"what is a carbon border adjustment mechanism ? why was the cbam introduced in the eu ? how will the eu ' s cbam work ? how is the mechanism expected to cut emissions ? what are the reactions from developing countries ? are other countries introducing their own mechanisms ? what is a carbon border adjustment mechanism ? a carbon border adjustment mechanism (cbam) is a tax applied to certain imported goods, based on the amount of carbon dioxide (co2) emissions released during their production. it targets industries that are typically emissions intensive and relatively easy to trade internationally, such as steel, aluminium and cement.",-1,0.4648866057395935
industries typically emissions,carbon-intensive industry,carbon-intensive industry,green steel,green steel,effect,0.3165794,0.5764,"[('tax', 0.5417), ('co2', 0.3972), ('industries', 0.3275), ('targets', 0.1585), ('typically', 0.062), ('co2 emissions', 0.5683), ('tax applied', 0.4832), ('trade internationally', 0.3987), ('targets', 0.1585), ('intensive relatively', 0.0864), ('industries typically emissions', 0.5764), ('tax applied', 0.4832), ('easy trade internationally', 0.291), ('dioxide', 0.2814), ('targets', 0.1585)]",0.7515166401863098,0.5,"what is a carbon border adjustment mechanism ? why was the cbam introduced in the eu ? how will the eu ' s cbam work ? how is the mechanism expected to cut emissions ? what are the reactions from developing countries ? are other countries introducing their own mechanisms ? what is a carbon border adjustment mechanism ? a carbon border adjustment mechanism (cbam) is a tax applied to certain imported goods, based on the amount of carbon dioxide (co2) emissions released during their production. it targets industries that are typically emissions intensive and relatively easy to trade internationally, such as steel, aluminium and cement.",0,0
think cbam,CBAM sector coverage,CBAM sector coverage,green steel,green steel,effect,0.31442207,1,"[('cbam', 0.8986), ('think', 0.3806), ('think cbam', 1.0), ('cbam', 0.8986), ('think', 0.3806), ('think cbam', 1.0), ('cbam', 0.8986), ('think', 0.3806)]",0.7421940565109253,0.5,you might think cbam mainly affects heavy industry and steel mills.,0,0
declining demand,decline in demand for European steel,decline in demand for European steel,green steel,green steel,decrease,0.9896507,1,"[('demand', 0.7866), ('declining', 0.6659), ('declining demand', 1.0), ('demand', 0.7866), ('declining', 0.6659), ('declining demand', 1.0), ('demand', 0.7866), ('declining', 0.6659)]",0.7502497434616089,-1,"tata steel nederland calls for clear european conditions for a sustainable future of europe ' s industry by dagmar dieterle the steel industry is facing a perfect storm : decarbonisation, competitive pressure, imports from outside eu and declining demand are presenting companies with immense challenges.",-1,0.9896507263183594
competition countries,EU industrial competitiveness,EU industrial competitiveness,green steel,green steel,effect,0.17648804,0.7738,"[('competition', 0.6499), ('countries', 0.4901), ('competition countries', 0.7738), ('competition', 0.6499), ('countries', 0.4901), ('competition countries', 0.7738), ('competition', 0.6499), ('countries', 0.4901)]",0.7189192771911621,0.5,"this happens in a challenging context, where the european steel industry is facing significant pressures due to competition from third countries especially our strategic rivals.",0,0
basic metals sector,EU steel sector,EU steel sector,green steel,green steel,increase,0.910131,0.5369,"[('steel', 0.3876), ('geopolitical', 0.3658), ('2024', 0.3251), ('uncertainty', 0.2914), ('negative', 0.196), ('metals sector', 0.5334), ('geopolitical challenges', 0.4259), ('growing uncertainty', 0.4033), ('2024', 0.3251), ('signs recovery', 0.1661), ('basic metals sector', 0.5369), ('2024 growing uncertainty', 0.5211), ('economic geopolitical challenges', 0.4847), ('factors deepened negative', 0.3559), ('showing signs recovery', 0.1181)]",0.7536963820457458,1,"europe needs a comprehensive eu steel action plan that protects our? over the past two years, a series of economic and geopolitical challenges have steadily eroded the strength of the steel and basic metals sector. rather than showing signs of recovery, these factors deepened the negative impact in 2024. growing uncertainty",1,0.9101309776306152
companies halted investments,halted green investments,halted green investments,green steel,green steel,effect,0.9798392,0.9122,"[('investments', 0.5978), ('halted', 0.4907), ('companies', 0.4228), ('halted investments', 0.8794), ('companies halted', 0.7507), ('investments', 0.5978), ('halted', 0.4907), ('companies', 0.4228), ('companies halted investments', 0.9122), ('companies halted', 0.7507), ('investments', 0.5978), ('halted', 0.4907), ('companies', 0.4228)]",0.7449491620063782,0.5,"this undermines decarbonization, as several companies have halted investments in green steel projects.",0,0
deep decarbonization,industrial decarbonisation,industrial decarbonisation,green steel,green steel,increase,0.97127455,0.962,"[('decarbonization', 0.8322), ('deep', 0.4126), ('deep decarbonization', 0.962), ('decarbonization', 0.8322), ('deep', 0.4126), ('deep decarbonization', 0.962), ('decarbonization', 0.8322), ('deep', 0.4126)]",0.7077886462211609,1,"ritz assistant director, energy policy research group (eprg) judge business school, cambridge university hill * knowlton roundtable : eu carbon border adjustment mechanism brussels, 24 june 2020 this talk reflects my academic views not necessarily those of any organization agenda for this talk (1) eu import cbam : economic impacts (2) industrial competitiveness : imports vs exports (3) deep decarbonization : the case of steel (4) wider policy design for eu carbon pricing eu carbon border adjustment mechanism eu inception impact analysis (march 2020) "" carbon leakage occurs when production is transferred from the eu to other countries with lower ambition for emission reduction, or when eu products are replaced by more carbon intensive imports...",1,0.9712745547294617
impact trade,net-zero targets,net-zero targets,green steel,green steel,decrease,0.21320666,1,"[('impact', 0.6949), ('trade', 0.4411), ('impact trade', 1.0), ('impact', 0.6949), ('trade', 0.4411), ('impact trade', 1.0), ('impact', 0.6949), ('trade', 0.4411)]",0.7072561979293823,-1,"as a global steel supplier that serves the eu, metinvest group has a unique perspective on how this climate neutral effort might impact trade.",-1,0.21320666372776031
zero climate impact,sustainability-driven consumer demand,sustainability-driven consumer demand,green steel,green steel,effect,0.12317731,0.9495,"[('climate', 0.5403), ('zero', 0.3529), ('impact', 0.3023), ('close', 0.0844), ('zero climate', 0.8178), ('climate impact', 0.6893), ('zero', 0.3529), ('impact', 0.3023), ('close', 0.0844), ('zero climate impact', 0.9495), ('climate', 0.5403), ('zero', 0.3529), ('impact', 0.3023), ('close', 0.0844)]",0.7121187448501587,0.5,""" the only difference is close to zero climate impact, and the customer is willing to pay more for that, "" says otto.",0,0
cost carbon emissions,the cost of carbon,the cost of carbon,green steel,green steel,decrease,0.3219067,0.9749,"[('emissions', 0.6469), ('cost', 0.5331), ('carbon', 0.4888), ('cost carbon', 0.848), ('carbon emissions', 0.8238), ('emissions', 0.6469), ('cost', 0.5331), ('carbon', 0.4888), ('cost carbon emissions', 0.9749), ('carbon emissions', 0.8238), ('emissions', 0.6469), ('cost', 0.5331), ('carbon', 0.4888)]",0.7136090397834778,-1,"the cost of carbon emissions will apply on the aluminium, iron and steel used in the production process, whether these have been supplied in the eu (subject to the eu ets) or imported from elsewhere (subject to cbam).",-1,0.3219066858291626
russia steadily worsening,geopolitical tensions,geopolitical tensions,green technology,green technology,decrease,0.4937543,0.777,"[('russia', 0.4506), ('worsening', 0.3813), ('relations', 0.2875), ('steadily', 0.24), ('amid', 0.136), ('russia steadily', 0.6068), ('worsening political', 0.5788), ('political relations', 0.5582), ('relations west', 0.525), ('amid', 0.136), ('russia steadily worsening', 0.777), ('relations west', 0.525), ('political', 0.3178), ('steadily', 0.24), ('amid', 0.136)]",0.6874610781669617,-1,"still, amid russia ' s steadily worsening political relations with the west, clean energy (and hydrogen in particular) is one of the few promising areas of cooperation between germany and russia, with the potential to become a major steppingstone for the development of hydrogen value chains in both countries.",-1,0.4937542974948883
zero climate impact,sustainability-driven consumer demand,sustainability-driven consumer demand,green technology,green technology,increase,0.90973026,1,"[('climate', 0.5417), ('zero', 0.4191), ('impact', 0.3182), ('zero climate', 0.8861), ('climate impact', 0.6681), ('climate', 0.5417), ('zero', 0.4191), ('impact', 0.3182), ('zero climate impact', 1.0), ('climate impact', 0.6681), ('climate', 0.5417), ('zero', 0.4191), ('impact', 0.3182)]",0.7425602078437805,-1,""" the only difference is close to zero climate impact, and the customer is willing to pay more for that, "" says otto.",-1,0.9097302556037903
sustainable refractory production,sustainable refractory production,sustainable refractory production,green technology,green technology,increase,0.99909496,0.9692,"[('sustainable', 0.6466), ('production', 0.5419), ('refractory', 0.4885), ('refractory production', 0.8645), ('sustainable refractory', 0.8314), ('sustainable', 0.6466), ('production', 0.5419), ('refractory', 0.4885), ('sustainable refractory production', 0.9692), ('sustainable refractory', 0.8314), ('sustainable', 0.6466), ('production', 0.5419), ('refractory', 0.4885)]",0.6923843622207642,1,"e s _ sustainable refractory production transforming the industry towards a greener future thomas prietl head of global r & d and innovation at rhi magnesita isr24, chengdu october 2024 kd content rhi magnesita at a glance rhi magnesita decarbonization pathway driving forces to reduce our co2 footprint ccu mineralization and recycling as major drivers to reduce our carbon footprint mireco focusing on circular business models co, transparency of our products the global leader in refractories solutions digital > systems-machine there for you, wherever you need us ta 3.",1,0.9990949630737305
carbon tax,carbon pricing policy,carbon pricing policy,green transition,green transition,increase,0.9372977,0.8963,"[('carbon', 0.607), ('tax', 0.5492), ('carbon tax', 0.8963), ('carbon', 0.607), ('tax', 0.5492), ('carbon tax', 0.8963), ('carbon', 0.607), ('tax', 0.5492)]",0.7694838643074036,1,sa oom the paper in a nutshell the paper studies how monetary policy should be conducted during the green transition it uses a closed economy dsge framework with a green and a dirty sector to analyze if the transition is inflationary and how monetary policy should respond to the effects of climate policies on inflation it finds that carbon tax generates upward pressures on inflation if prices in the dirty sector are more flexible than prices in the rest of the economy but the transition is not necessarily inflationary : the central bank can keep inflation close to target if it accepts a cost in terms of widening output gap.,1,0.9372977018356323
competitiveness industries leaving,EU industrial competitiveness,EU industrial competitiveness,green transition,green transition,decrease,0.18382725,0.7672,"[('industries', 0.5941), ('competitiveness', 0.5526), ('leaving', 0.2106), ('competitiveness industries', 0.703), ('industries leaving', 0.6564), ('industries', 0.5941), ('competitiveness', 0.5526), ('leaving', 0.2106), ('competitiveness industries leaving', 0.7672), ('competitiveness industries', 0.703), ('industries', 0.5941), ('competitiveness', 0.5526), ('leaving', 0.2106)]",0.7574184536933899,-1,"key for us is to take the necessary key steps to transition, without adversely affecting the competitiveness of such industries and leaving no one behind.",-1,0.1838272511959076
halted investments green,halted green investments,halted green investments,green transition,green transition,effect,0.9396508,0.7591,"[('investments', 0.4035), ('steel', 0.3079), ('halted', 0.298), ('projects', 0.2854), ('green', 0.2329), ('investments green', 0.6165), ('companies halted', 0.562), ('steel projects', 0.5123), ('green steel', 0.5106), ('companies', 0.3686), ('halted investments green', 0.7591), ('investments green steel', 0.7466), ('steel projects', 0.5123), ('companies', 0.3686), ('green', 0.2329)]",0.72029525,0.5,"this undermines decarbonization, as several companies have halted investments in green steel projects.",0,0
increasing demand steel,increasing  demand for steel,increasing  demand for steel,green transition,green transition,decrease,0.27338907,0.8596,"[('steel', 0.5263), ('demand', 0.5102), ('increasing', 0.4354), ('demand steel', 0.8061), ('increasing demand', 0.6067), ('steel', 0.5263), ('demand', 0.5102), ('increasing', 0.4354), ('increasing demand steel', 0.8596), ('demand steel', 0.8061), ('steel', 0.5263), ('demand', 0.5102), ('increasing', 0.4354)]",0.7318407893180847,-1,"the study sought to provide a comprehensive view of the industry ' s future, driven by increasing demand for steel in infrastructure supporting the green transition, mobility, urbanization, and population growth.",-1,0.273389071
emissions trading eu,industrial delocalisation,industrial delocalisation,green transition,green transition,decrease,0.10939716,0.6721,"[('emissions', 0.4314), ('cbam', 0.3087), ('incentivising', 0.2875), ('european', 0.2159), ('gradual', 0.0103), ('carbon pricing', 0.6147), ('allowances introduced', 0.3321), ('cbam experiment', 0.3177), ('regard ets', 0.2758), ('outside europe', 0.2158), ('emissions trading eu', 0.6721), ('cbam lacks necessary', 0.3409), ('experiment unintended consequences', 0.2557), ('designed raw materials', 0.1587), ('served preserve', -0.1142)]",0.6741524934768677,-1,"as it stands, cbam lacks the necessary provisions to effectively prevent carbon leakage in downstream products, potentially stimulating a transfer of carbon emissions, production and investments outside of europe. in other words, incentivising industrial delocalisation. putting a price on carbon is not an easy task. over the past two decades, europe has become a world leader in carbon pricing policies with the development of its emissions trading system (eu ets), the first and largest binding carbon market ever put in place. for sectors considered to be "" at risk of carbon leakage "", a system of free allowances was introduced to secure jobs and investments in europe. in this regard, ets free allowances served to preserve competitiveness and ensure a fair and gradual economic transition to a decarbonised economy. by design, the eu ' s proposed mechanism strives to replicate the european carbon price on imported goods, in a way for european producers and international competitors to pay the same price on carbon, regardless of the place of production. in a nutshell, cbam aspires to align the eu ' s ramped up environmental ambition with global trade, in an effort for the eu to become a global leader in the race towards climate neutrality. cbam is nevertheless an experiment whose unintended consequences must be carefully assessed. as mentioned in the impact assessment, the mechanism was designed for raw materials and electricity, while the inclusion of finished products was discarded due to administrative complexity.",-1,0.10939715802669525
cleaner environment affordable,net-zero targets,net-zero targets,green transition,green transition,increase,0.9548129,0.643,"[('environment', 0.4591), ('affordable', 0.3467), ('smarter', 0.3311), ('mobility', 0.2846), ('new', 0.1095), ('environment affordable', 0.6146), ('quality life', 0.4661), ('new jobs', 0.3625), ('overall higher', 0.3173), ('energy smarter', 0.3098), ('cleaner environment affordable', 0.643), ('jobs overall higher', 0.4705), ('quality life', 0.4661), ('smarter', 0.3311), ('mobility new', 0.2571)]",0.707019567,1,"the key objective of the eu green deal (egd), which was presented in december 2019, is for the eu to become the first climate neutral continent by 2050, resulting in a cleaner environment, more affordable energy, smarter mobility, new jobs, and an overall higher quality of life.",1,0.9548128843307495
affect economic conditions,reduced economic activity,reduced economic activity,green transition,green transition,decrease,0.3062645,1,"[('economic', 0.6143), ('conditions', 0.5219), ('affect', 0.4722), ('affect economic', 0.864), ('economic conditions', 0.8129), ('economic', 0.6143), ('conditions', 0.5219), ('affect', 0.4722), ('affect economic conditions', 1.0), ('economic conditions', 0.8129), ('economic', 0.6143), ('conditions', 0.5219), ('affect', 0.4722)]",0.7757104635238647,-1,"this could lead to a slowdown in business activity, reduce competitiveness and adversely affect economic conditions.",-1,0.3062644898891449
zero climate impact,sustainability-driven consumer demand,sustainability-driven consumer demand,green transition,green transition,increase,0.67911786,1,"[('climate', 0.5417), ('zero', 0.4191), ('impact', 0.3182), ('zero climate', 0.8861), ('climate impact', 0.6681), ('climate', 0.5417), ('zero', 0.4191), ('impact', 0.3182), ('zero climate impact', 1.0), ('climate impact', 0.6681), ('climate', 0.5417), ('zero', 0.4191), ('impact', 0.3182)]",0.7432184815406799,-1,""" the only difference is close to zero climate impact, and the customer is willing to pay more for that, "" says otto.",-1,0.6791178584098816
carbon removals eu,carbon capture technology,carbon capture technology,industrial decarbonisation,industrial decarbonisation,increase,0.22828093,0.6064,"[('emissions', 0.4285), ('eu', 0.2859), ('cdrs', 0.2276), ('zero', 0.1183), ('flexibility', 0.0487), ('eu emissions', 0.5783), ('removals cdrs', 0.288), ('preparing elv', 0.2609), ('default value', 0.2526), ('metallurgical flexibility', 0.0983), ('carbon removals eu', 0.6064), ('default values cbam', 0.3351), ('ets future', 0.2986), ('passenger cars targets', 0.2043), ('metallurgical flexibility', 0.0983)]",0.7294426560401917,1,"it particularly focuses on? publications towards a minimum recycled steel content in passenger cars : setting an initial target the eu has around 286 million motor vehicles, and every year, 6. 5 million of these are scrapped. if the steel scrap from these end of life vehicles (elvs) is not managed well, valuable resources are lost, harming the environment. with the eu preparing its elv regulation, which could set targets for minimum recycled steel content for passenger cars : what should those targets be ? in or out : what ' s best for carbon removals and the eu ets ? what will the future of the eu emissions trading system (ets) look like as the emissions cap heads towards zero ? is integrating carbon dioxide removals (cdrs) into the ets a solution to help the eu achieve its climate goals ? or would they compromise the integrity and functioning of the system ? these questions are at the forefront of the commission ' s mind as they review different options for the future of the ets ahead of the 2026 revision. for a systematic use of default values in the cbam the current carbon emissions reporting in the cbam fails to achieve its goal of replacing free allocations under the eu ets and undermines its integrity. a systematic default value system would improve the cbam and safeguard the eu ets. cbam dri loophole requires new free allocation reform we took part in a targeted survey run by the european commission ' s dg taxud on methodologies used to calculate embedded emissions and the rules for adjusting cbam obligations alongside free allocation under the ets. our proposal : free allocation should be reformed to close the ' dri loophole '. feedback on the eu commission ' s draft methodology for low carbon hydrogen for ' low carbon ' hydrogen to truly make a positive contribution to europe ' s transition to climate neutrality, the safeguards put in place must be meaningful. unfortunately, this does not appear to be the case in this draft delegated act. metallurgical flexibility : enabling the aluminium and steel sectors for demand response electrification and flexibility are critical to decarbonising both industrial and electricity systems. but what happens when we combine the two ? industrial flexibility",1,0.2282809317111969
immense challenges,CBAM implementation challenges,CBAM implementation challenges,industrial decarbonisation,industrial decarbonisation,effect,0.20763828,0.8394,"[('challenges', 0.7244), ('immense', 0.4245), ('immense challenges', 0.8394), ('challenges', 0.7244), ('immense', 0.4245), ('immense challenges', 0.8394), ('challenges', 0.7244), ('immense', 0.4245)]",0.7567024230957031,0.5,"tata steel nederland calls for clear european conditions for a sustainable future of europe ' s industry by dagmar dieterle the steel industry is facing a perfect storm : decarbonisation, competitive pressure, imports from outside eu and declining demand are presenting companies with immense challenges.",0,0
declining demand,decline in demand for European steel,decline in demand for European steel,industrial decarbonisation,industrial decarbonisation,decrease,0.5308805,1,"[('demand', 0.7866), ('declining', 0.6659), ('declining demand', 1.0), ('demand', 0.7866), ('declining', 0.6659), ('declining demand', 1.0), ('demand', 0.7866), ('declining', 0.6659)]",0.769715428,-1,"tata steel nederland calls for clear european conditions for a sustainable future of europe ' s industry by dagmar dieterle the steel industry is facing a perfect storm : decarbonisation, competitive pressure, imports from outside eu and declining demand are presenting companies with immense challenges.",-1,0.5308805108070374
greenhouse gas emissions,declining greenhouse gas emissions,declining greenhouse gas emissions,industrial decarbonisation,industrial decarbonisation,decrease,0.46547776,0.8356,"[('emissions', 0.6865), ('greenhouse', 0.5823), ('gas', 0.3832), ('greenhouse gas', 0.7591), ('gas emissions', 0.6978), ('emissions', 0.6865), ('greenhouse', 0.5823), ('gas', 0.3832), ('greenhouse gas emissions', 0.8356), ('greenhouse gas', 0.7591), ('emissions', 0.6865), ('greenhouse', 0.5823), ('gas', 0.3832)]",0.746814489,-1,"the president made the case for europe ' s industrial potential, highlighting its current strengths : one quarter of global clean tech patents, top quality infrastructure, vibrant sectors such as hydrogen and electrolysers, and all while greenhouse gas emissions in the energy sector continue to decrease.",-1,0.46547776460647583
industry moves electrification,electrification of industry,electrification of industry,industrial decarbonisation,industrial decarbonisation,effect,0.47517362,0.7708,"[('electrification', 0.6639), ('flexibility', 0.4535), ('industry', 0.3948), ('increasingly', 0.3613), ('important', 0.1422), ('industrial flexibility', 0.7318), ('moves electrification', 0.6215), ('increasingly important', 0.3256), ('role industry', 0.2811), ('play', -0.0598), ('industry moves electrification', 0.7708), ('industrial flexibility', 0.7318), ('increasingly important', 0.3256), ('flexibility play', 0.3161), ('role industry', 0.2811)]",0.8176111578941345,0.5,but what happens when we combine the two ? industrial flexibility will play an increasingly important role as industry moves towards electrification.,0,0
competitive pressure imports,EU industrial competitiveness,EU industrial competitiveness,industrial decarbonisation,industrial decarbonisation,decrease,0.21405293,0.7264,"[('demand', 0.5028), ('imports', 0.4754), ('eu', 0.452), ('competitive', 0.2876), ('outside', 0.0805), ('pressure imports', 0.5771), ('eu declining', 0.5623), ('demand', 0.5028), ('competitive', 0.2876), ('outside', 0.0805), ('competitive pressure imports', 0.7264), ('imports outside eu', 0.7014), ('eu declining', 0.5623), ('declining demand', 0.5218), ('outside', 0.0805)]",0.7770223021507263,-1,"tata steel nederland calls for clear european conditions for a sustainable future of europe ' s industry by dagmar dieterle the steel industry is facing a perfect storm : decarbonisation, competitive pressure, imports from outside eu and declining demand are presenting companies with immense challenges.",-1,0.2140529304742813
cbam lacks necessary,inclusion of downstream products under CBAM,inclusion of downstream products under CBAM,industrial decarbonisation,industrial decarbonisation,decrease,0.61095876,0.6079,"[('cbam', 0.4758), ('emissions', 0.4011), ('leakage', 0.2189), ('europe', 0.1374), ('potentially', 0.0301), ('cbam lacks', 0.5446), ('carbon leakage', 0.4939), ('downstream products', 0.3829), ('effectively prevent', 0.1702), ('europe', 0.1374), ('cbam lacks necessary', 0.6079), ('carbon leakage downstream', 0.5653), ('provisions effectively prevent', 0.3047), ('investments outside europe', 0.2943), ('stimulating transfer', 0.0557)]",0.7866275906562805,-1,"as it stands, cbam lacks the necessary provisions to effectively prevent carbon leakage in downstream products, potentially stimulating a transfer of carbon emissions, production and investments outside of europe.",-1,0.6109587550163269
cbam lacks necessary,inclusion of downstream products under CBAM,inclusion of downstream products under CBAM,industrial decarbonisation,industrial decarbonisation,effect,0.9126346,0.6079,"[('cbam', 0.4758), ('emissions', 0.4011), ('leakage', 0.2189), ('europe', 0.1374), ('potentially', 0.0301), ('cbam lacks', 0.5446), ('carbon leakage', 0.4939), ('downstream products', 0.3829), ('effectively prevent', 0.1702), ('europe', 0.1374), ('cbam lacks necessary', 0.6079), ('carbon leakage downstream', 0.5653), ('provisions effectively prevent', 0.3047), ('investments outside europe', 0.2943), ('stimulating transfer', 0.0557)]",0.7420566082000732,0.5,"as it stands, cbam lacks the necessary provisions to effectively prevent carbon leakage in downstream products, potentially stimulating a transfer of carbon emissions, production and investments outside of europe.",0,0
